userId,productId,rating
bf01a388-949c-4f95-895d-7684b5cab6a5,1,3
7fe871eb-46c0-457b-a93f-a859b475713c,3,2
c8568f7f-27f2-492b-a728-9d0504bc298a,7,3
9438e961-c11f-424e-b281-dea637616363,3,1
e5332626-0afe-4b39-bcbc-d5c53d4a3b7c,4,3
14307f80-2ff0-4ccf-9ac8-73768a43edb2,2,5
1473b1b4-7b53-43ef-83db-4ae9cfc01de9,5,5
d325de59-7de9-459c-bbdc-cf950833b4e7,2,1
f3481941-93fc-4155-beda-3a4442acc56f,6,4
49def278-c966-4fcb-b752-78cc37f4efc4,1,5
0d0fa739-0bc2-49d2-b39c-f6ab2bc325c7,8,3
6bf661e6-43ea-4569-9f32-67d35f76e335,7,5
a9a44362-f695-4504-8f8d-df3bff52245c,4,4
c5ce634f-4e2a-42ec-8e39-1abf26fc473f,8,2
3391c5cb-49aa-4054-a5d0-352342f0a431,7,4
bb399f10-3c1b-43bf-b08a-5d929dd83dff,7,4
4ebd0de8-7f9c-4b5a-aabc-8c5896ba6d8d,4,2
7f047424-3edd-4556-9e0f-e2732fe837a7,4,4
f2445d90-9380-4a63-8caa-52b30a781b3f,3,2
7f047424-3edd-4556-9e0f-e2732fe837a7,7,1
89106a07-9022-4ba4-a2a7-0cc432c0c2fb,5,2
f380e561-a1c6-4115-aaed-39a38567a4ef,1,4
0b9319f6-b857-42aa-89df-9ebed2b8b342,2,1
9962475a-3d51-42f8-aced-8d2a02fb2cc6,6,5
7308b59a-3db9-4508-90d4-94152ecb5f38,3,1
ad41e33b-ce78-4944-9eb2-1e682e654c99,6,2
748cdeed-45b9-4669-a604-7422b624bfc9,1,1
fcf6ac87-aec0-4216-9c4d-f44c4bd1f385,7,2
ed5902a3-3486-4b91-82ce-be5890fe8ce6,8,3
98694b0e-0047-4aac-81fc-0ba9792d396f,2,3
5e8def39-5e9b-421b-818e-324d458f4c2b,1,2
93067f1c-a402-4b8f-b01d-16b4aa347dcb,8,4
14307f80-2ff0-4ccf-9ac8-73768a43edb2,7,5
2edef0fe-4457-4453-b8dd-297f9fc2b8b1,6,5
87d1e3c8-cbae-472b-a6c0-0422ae36ba55,8,5
11841497-93e6-4f64-acb7-16dd51054794,1,2
78e687b2-f0a7-45cc-96bf-85ab965afae7,6,5
3ae2e443-728b-4705-86c9-71f2a1ea79ef,7,1
c70b630a-43c0-46d2-bfa4-a50a21abf64d,4,1
1b273b83-b990-4bcd-924b-a9dbdd6e673f,8,3
a68f478c-71c1-4c88-8f22-fc6cb7e60328,5,5
503dbaac-b4ab-41a0-9aa4-8eb743898d44,2,1
72998a78-4490-4f98-b7c7-9cc66b0e2a9d,8,2
1b273b83-b990-4bcd-924b-a9dbdd6e673f,1,1
83e11eec-8548-498a-a8c4-25358499e304,8,1
0f1ab389-80a1-404f-ab9c-6e76c82f076f,4,3
bcc95c8d-e448-4101-adb4-ab441932fb01,6,3
14673edf-41cb-48f3-b371-f9856c0268e5,5,2
232564f9-76cd-4fb4-9ea3-4b81bfbfe935,4,3
a0ca7c4a-7f10-429c-8b5c-ff5d1dbd2a3e,7,4
17162a4f-13a1-46c3-8709-c44c5535c58f,5,4
bcc95c8d-e448-4101-adb4-ab441932fb01,5,1
b6f9a779-412c-4f21-8073-13381bf31490,4,5
ff9379c7-1d2c-46f1-ad6c-bb168d91962b,6,4
4a48cf89-33a1-414c-8252-8925f66661e9,2,4
ed5902a3-3486-4b91-82ce-be5890fe8ce6,1,2
ee72719a-0315-4700-9da1-10621c382730,3,2
502e2c6e-6ede-4ac0-8f59-c4f537c4f4e4,4,1
5bc98ff3-c916-413f-9feb-1ed2f25340ee,5,2
0df067ef-28bc-4ea4-b9bc-fc37b30db486,6,2
6557201d-2ab0-42e9-9aa7-fbae2644128e,7,3
7d0de6a5-106f-4c8e-b63a-01ae3cb1fa59,3,5
6faca8b2-e2ee-4413-ae52-7ed488dc2453,8,1
82fbfb43-a3d9-478e-9d4a-7495245de388,5,5
0ee9fefc-f0e7-45e8-8d7c-b0859712a9b1,5,3
131e9dbb-b3c7-44da-b0d3-c69509feac95,7,1
d147a098-bfde-40d4-9488-5ae9911875dd,4,5
557c1227-c741-4207-8196-a608cfb8b1fb,7,1
24b6a707-6458-45a9-8b6b-c98ab45604ad,8,4
14ec90b4-1b2a-4307-bcba-4ea815154074,2,3
f507112d-c095-4469-b7fb-bc5316f4d88c,6,5
